folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"42-04601069888-A0031";1;1;2;"";;0;2;"";1;1;"";7;"";1;"";14;6;;;1;30;2;"";1;1500;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";47;2;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0041";1;1;5;"";;100;2;"";1;1;"";7;"";7;"";0;6;;;1;0;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;1;0;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0051";1;1;2;"";;150;2;"";1;1;"";5;"";1;"";14;6;;;1;35;2;"";1;800;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";47;3;2;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0061";1;1;5;"";;70;2;"";1;1;"";7;"";1;"";14;6;;;1;35;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0071";1;1;1;"";50;;2;"";2;4;"";1;"";1;"";14;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0081";1;1;2;"";;100;2;"";1;1;"";7;"";1;"";14;2;;1;1;20;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;2;2;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0091";1;1;2;"";;55;2;"";2;2;"";1;"";1;"";14;6;;;1;18;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0101";1;1;2;"";;50;2;"";2;1;"";1;"";1;"";14;6;;;1;16;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04602377020-A0011";1;1;2;"";;100;2;"";1;4;"";7;"";2;"";14;6;;;1;20;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04602377020-A";4;30;11;2014;255;256
"42-04602377020-A0021";1;1;2;"";;120;2;"";1;4;"";7;"";2;"";14;6;;;1;17;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;2;;2;"04";"0410";"041001";2;"42-04602377020-A";4;29;11;2014;255;256
