folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
114167;"262-06093252440-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114174;"262-06093252440-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114180;"412-00476256163-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"12";186
114183;"412-00476256163-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"12";186
114187;"412-00476256163-A";1;1;1;40702;"MACHACAMARCA";1;12;1;"";3;6;"";6;"";2;;;80;1;2;0;65;15;0;0;0;0;0;0;0;0;"NO ESPECIFICA";1;4;"12";186
114194;"261-06027367037-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114195;"261-06027367037-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114196;"261-06027367037-A";1;1;1;20104;"Achocalla";1;12;1;"";4;3;"";11;"";2;;;150;1;2;0;100;20;0;0;0;30;0;0;0;0;"";1;2;"11";146
114213;"261-06150230142-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114218;"262-06047899503-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114224;"262-06047899503-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114226;"262-06047899503-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114230;"411-04813553032-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"11";169
114236;"411-04813553032-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"11";169
114244;"411-04813553032-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"11";169
114250;"261-06150230142-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114256;"261-06150230142-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114269;"262-06011749931-A";1;1;1;20801;"VIACHA";2;1;5;"";3;3;"";11;"";2;;;60;1;2;0;30;30;0;0;0;0;0;0;0;0;"";1;2;"12";202
114274;"262-06011749931-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114278;"262-06011749931-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114284;"262-06084340558-A";1;1;1;21702;"San Pedro de Tiquina";2;3;12;"PASEO";3;3;"";3;"";2;;;400;1;2;100;250;40;0;0;0;10;0;0;0;0;"";1;2;"12";202
114285;"262-06084340558-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114286;"262-06084340558-A";1;1;1;21401;"COROICO";2;2;2;"";5;1;"";7;"";2;;;330;1;2;0;120;150;0;10;0;50;0;0;0;0;"NO ESPECIFICA";1;2;"12";202
114301;"611-02980954382-A";1;1;1;10902;"CULPINA";1;6;2;"";2;4;"";10;"LUGAR DE TRABAJO DE SU ESPOSO";2;;;90;1;2;0;30;40;0;10;0;0;0;0;0;10;"GASTOS PERSONALES";1;6;"11";122
